Name                                                                                                                            ,ExternalKey                                                                                                                     ,Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,BeginDate       ,ExpirationDate  
--------------------------------------------------------------------------------------------------------------------------------,--------------------------------------------------------------------------------------------------------------------------------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,----------------,----------------
My Coupon                                                                                                                       ,Coupon                                                                                                                          ,This is my coupon                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,      2023-02-11,      2023-02-11
eleifend.                                                                                                                       ,7A7EFBA9-90B1-6D24-43E8-062CB6D4230E                                                                                            ,tempus eu,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,      2022-09-02,      2022-05-01
et                                                                                                                              ,B1775D6D-9E89-77A3-D41E-426D03B07394                                                                                            ,Quisque ornare tortor at risus. Nunc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,      2023-03-10,      2022-04-09
diam                                                                                                                            ,2D86B888-417F-1A11-0ECD-FB91D7EDEE94                                                                                            ,hendrerit. Donec porttitor tellus non magna. Nam ligula                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,      2023-06-29,      2022-10-21
vel                                                                                                                             ,72E26CA9-E8C3-2CFF-CA3E-A28592BF4A1E                                                                                            ,Sed neque.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,      2024-01-19,      2022-05-26
justo                                                                                                                           ,9C663618-B4D7-EB9E-988D-D4F83396C64C                                                                                            ,tellus sem mollis dui,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,      2023-09-23,      2023-08-03
lorem                                                                                                                           ,56054946-E41C-0D23-62B7-4E5BEA3D558A                                                                                            ,et malesuada fames ac turpis egestas.                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,      2023-05-16,      2022-05-15
Mauris                                                                                                                          ,9434F9D7-E2E9-4C1E-E316-D42D8EE827B4                                                                                            ,sapien. Cras dolor dolor, tempus non, lacinia at, iaculis quis,                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,      2022-02-27,      2022-05-15
ligula                                                                                                                          ,3C3AC025-9314-5760-96E3-3C3AD602028C                                                                                            ,vestibulum. Mauris magna. Duis dignissim tempor arcu. Vestibulum ut eros                                                                                                                                                                                                                                                                                                                                                                                                                                            ,      2023-04-29,      2023-06-02
vel                                                                                                                             ,864A57A1-71CA-7531-EFD1-8C4BF3C5454C                                                                                            ,Proin mi. Aliquam gravida mauris ut                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,      2023-04-22,      2022-09-21
convallis                                                                                                                       ,4ED2CDBB-4456-E93C-13AD-7477843A4E19                                                                                            ,consectetuer mauris id sapien. Cras dolor dolor, tempus non,                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,      2023-09-16,      2023-01-02
enim                                                                                                                            ,1162A5AD-CD61-F2BB-4CEE-55BB5C4DAF74                                                                                            ,hendrerit neque. In ornare sagittis felis. Donec tempor, est ac                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,      2022-10-23,      2022-03-10
massa                                                                                                                           ,29BA4A7A-2FB9-7E67-E202-925AF3284A92                                                                                            ,est, vitae                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,      2023-05-28,      2022-03-26
ligula.                                                                                                                         ,7A4904F9-46AC-2D48-A295-42A494D451B5                                                                                            ,Aenean                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,      2023-08-25,      2022-03-25
Nunc                                                                                                                            ,378692A1-B97F-2192-F6E6-415405B68269                                                                                            ,Nam ac                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,      2023-04-18,      2022-12-25
Sed                                                                                                                             ,951ADD68-18DD-0E60-4A87-DCF7476A552B                                                                                            ,ullamcorper. Duis cursus,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,      2023-03-09,      2022-03-08
ipsum                                                                                                                           ,BA757048-6153-B752-6861-6A163757BBEE                                                                                            ,nunc sed                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,      2022-08-15,      2024-02-18
ipsum.                                                                                                                          ,985AA44A-8DB8-62C9-75DF-03547F9D5E7B                                                                                            ,nulla magna, malesuada vel, convallis                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,      2023-12-04,      2023-03-30
torquent                                                                                                                        ,33E63752-9AB9-72B7-7AED-4A01EADD9AC8                                                                                            ,urna justo faucibus lectus, a sollicitudin orci sem                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,      2022-06-27,      2022-03-31
montes,                                                                                                                         ,84DC282E-4BAE-996C-E882-25B9CABAB632                                                                                            ,massa. Quisque                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,      2022-05-10,      2022-10-06
magnis                                                                                                                          ,A745532E-3C1C-EBE4-3C11-4B7BE83F0CE7                                                                                            ,elit erat vitae risus. Duis a mi fringilla mi                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,      2023-04-17,      2022-09-28
Nunc                                                                                                                            ,ED55DB4D-983C-5D3C-C219-65234D5BDCB7                                                                                            ,pede. Praesent                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,      2022-03-10,      2022-03-12
nulla                                                                                                                           ,A46C7409-B836-97FD-DDCE-3A4B7B219AB7                                                                                            ,libero.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,      2023-10-03,      2022-03-29
cursus.                                                                                                                         ,84FE399A-8555-AC9A-E47E-F3125420FB39                                                                                            ,Mauris molestie pharetra nibh. Aliquam ornare, libero at auctor ullamcorper,                                                                                                                                                                                                                                                                                                                                                                                                                                        ,      2023-01-22,      2024-02-06
per                                                                                                                             ,DA1C26B4-871B-194C-98E5-9D243DBD72BB                                                                                            ,id, blandit at, nisi. Cum sociis natoque penatibus et                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,      2023-11-29,      2023-08-11
Cras                                                                                                                            ,EF84B623-0301-D811-EFF5-C85555454006                                                                                            ,Pellentesque habitant morbi tristique senectus et netus et malesuada                                                                                                                                                                                                                                                                                                                                                                                                                                                ,      2023-08-13,      2023-11-22
nunc                                                                                                                            ,BCC7BE28-81DA-4331-A10F-46DEF7129C71                                                                                            ,in consectetuer ipsum nunc id enim. Curabitur                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,      2023-02-04,      2023-12-02
orci.                                                                                                                           ,F28FC8E6-EC3E-7F12-0D8B-65ADA0510E57                                                                                            ,Sed et libero. Proin mi. Aliquam                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,      2023-11-02,      2022-07-06
aptent                                                                                                                          ,E6152673-5CDD-62E6-6C9C-72F868689355                                                                                            ,neque. Sed eget                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,      2023-12-06,      2022-09-14
consectetuer,                                                                                                                   ,26A1A893-783D-E723-3E93-DE52A641B589                                                                                            ,aliquam eu,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,      2023-08-16,      2023-11-03
urna.                                                                                                                           ,AB859CE4-433E-43A9-F980-A39312559F89                                                                                            ,orci. Donec nibh.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,      2023-11-04,      2022-12-28
sit                                                                                                                             ,D16ED6BB-2C49-B49D-9DF0-E74B773E0F97                                                                                            ,sed dui. Fusce aliquam, enim nec tempus scelerisque, lorem                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,      2023-04-12,      2022-03-13
arcu.                                                                                                                           ,86990841-487C-4C13-59AE-01A2F992D5AE                                                                                            ,nostra, per inceptos                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,      2023-07-15,      2023-08-15
lobortis                                                                                                                        ,FCE7334A-203C-E9D7-DD83-6AE8941781B8                                                                                            ,vehicula. Pellentesque tincidunt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,      2023-03-06,      2022-11-16
id,                                                                                                                             ,6F8CC1B2-4AB7-4B3B-534E-B18FEEE8C6D4                                                                                            ,massa rutrum magna. Cras                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,      2023-10-15,      2024-02-20
