jobid      ,emailid    ,accountid  ,accountuserid,fromname                                                                                                                          ,fromemail                                                                                           ,schedtime              ,pickuptime             ,deliveredtime          ,eventid                                           ,ismultipart,jobtype                                           ,jobstatus                                         ,modifiedby ,modifieddate           ,emailname                                                                                                                                                                                               ,emailsubject                                                                                                                                                                                            ,iswrapped,testemailaddr                                                                                                                   ,category                                                                                            ,bccemail                                                                                            ,originalschedtime      ,createddate            ,characterset                  ,ipaddress                                         ,salesforcetotalsubscribercount,salesforceerrorsubscribercount,sendtype                                                                                                                        ,dynamicemailsubject                                                                                                                                                                                                                                       ,suppresstracking,sendclassificationtype          ,sendclassification                  ,resolvelinkswithcurrentdata,emailsenddefinition                 ,deduplicatebyemail,triggerersenddefinitionobjectid     ,triggeredsendcustomerkey            
-----------,-----------,-----------,-------------,----------------------------------------------------------------------------------------------------------------------------------,----------------------------------------------------------------------------------------------------,-----------------------,-----------------------,-----------------------,--------------------------------------------------,-----------,--------------------------------------------------,--------------------------------------------------,-----------,-----------------------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,---------,--------------------------------------------------------------------------------------------------------------------------------,----------------------------------------------------------------------------------------------------,----------------------------------------------------------------------------------------------------,-----------------------,-----------------------,------------------------------,--------------------------------------------------,------------------------------,------------------------------,--------------------------------------------------------------------------------------------------------------------------------,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,----------------,--------------------------------,------------------------------------,---------------------------,------------------------------------,------------------,------------------------------------,------------------------------------
      17036,       9324,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-09-30 10:24:00.000,2022-09-28 08:34:00.000,2022-09-30 10:25:00.000,NULL                                              ,          0,NULL                                              ,New                                               ,          0,2022-09-30 10:24:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,Triggered Sends                                                                                     ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-09-28 08:33:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               0,Default Transactional           ,Default Transactional               ,                          0,NULL                                ,                 0,6A0C5D13-05F3-EC11-B83A-48DF37E41F4C,D1D51A69-C650-46E4-A67E-EFA4BB5212DF
      17037,       9319,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-09-30 10:24:00.000,2022-09-28 08:34:00.000,2022-09-30 10:25:00.000,NULL                                              ,          0,NULL                                              ,New                                               ,          0,2022-09-30 10:24:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,Triggered Sends                                                                                     ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-09-28 08:33:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               0,Default Transactional           ,Default Transactional               ,                          0,NULL                                ,                 0,519A03AF-04F3-EC11-B83A-48DF37E41F4C,A1D45EAD-4C65-4985-B4E0-C25C766F2101
      17034,       9327,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-09-28 08:33:00.000,2022-09-28 08:34:00.000,2022-09-30 10:25:00.000,NULL                                              ,          0,NULL                                              ,New                                               ,          0,2022-09-30 10:24:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,Triggered Sends                                                                                     ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-09-28 08:32:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               0,Default Transactional           ,Default Transactional               ,                          0,NULL                                ,                 0,519F1281-06F3-EC11-B83A-48DF37E41F4C,66948895-D3F0-44EB-AF2E-442E29F3B9D4
      17379,       9322,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-09-30 10:24:00.000,2022-09-30 07:02:00.000,2022-09-30 10:25:00.000,NULL                                              ,          0,NULL                                              ,New                                               ,          0,2022-09-30 10:24:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,Triggered Sends                                                                                     ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-09-30 07:00:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               0,Default Transactional           ,Default Transactional               ,                          0,NULL                                ,                 0,CD06E440-07F3-EC11-B83A-48DF37E41F4C,77876795-64C2-47C1-9FC8-51CA7D02E7AF
      17380,       9323,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-09-30 10:24:00.000,2022-09-30 07:02:00.000,2022-09-30 10:25:00.000,NULL                                              ,          0,NULL                                              ,New                                               ,          0,2022-09-30 10:24:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,Triggered Sends                                                                                     ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-09-30 07:00:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               0,Default Transactional           ,Default Transactional               ,                          0,NULL                                ,                 0,5D385D21-07F3-EC11-B83A-48DF37E41F4C,4052D170-0CC7-4905-BA7F-64CA8E271DF5
      17392,       9321,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-09-30 07:30:00.000,                   NULL,2022-09-30 07:31:00.000,NULL                                              ,          1,NULL                                              ,New                                               ,          0,2022-09-30 07:30:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,282a3392-186a-4ec9-80d7-b38587b2c2b4_V2                                                             ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-09-30 07:30:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               0,Default Transactional           ,Default Transactional               ,                          0,NULL                                ,                 0,BEDE2802-C440-ED11-B841-48DF37E41D3A,9A2B20BF-D429-4CE2-92D7-E97D0A8E934C
      17393,       9326,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-09-30 07:30:00.000,                   NULL,2022-09-30 07:31:00.000,NULL                                              ,          1,NULL                                              ,New                                               ,          0,2022-09-30 07:30:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,282a3392-186a-4ec9-80d7-b38587b2c2b4_V2                                                             ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-09-30 07:30:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               0,Default Transactional           ,Default Transactional               ,                          0,NULL                                ,                 0,2CDF2802-C440-ED11-B841-48DF37E41D3A,AEFF1A32-300E-44B5-9B61-3E5049CDC26F
      17394,       9318,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-09-30 07:30:00.000,                   NULL,2022-09-30 07:31:00.000,NULL                                              ,          1,NULL                                              ,New                                               ,          0,2022-09-30 07:30:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,282a3392-186a-4ec9-80d7-b38587b2c2b4_V2                                                             ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-09-30 07:30:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               0,Default Transactional           ,Default Transactional               ,                          0,NULL                                ,                 0,4CDF2802-C440-ED11-B841-48DF37E41D3A,848353FE-8CD8-4BC8-B074-FB6DBC2FC08B
      17395,       9326,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-09-30 07:30:00.000,                   NULL,2022-09-30 07:31:00.000,NULL                                              ,          1,NULL                                              ,New                                               ,          0,2022-09-30 07:30:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,282a3392-186a-4ec9-80d7-b38587b2c2b4_V2                                                             ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-09-30 07:30:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               0,Default Transactional           ,Default Transactional               ,                          0,NULL                                ,                 0,67DF2802-C440-ED11-B841-48DF37E41D3A,290A357A-0DA2-4B1C-B9BE-7C8E540846D4
