versionid                           ,journeyid                           ,journeyname                                                                                                                                                                                             ,versionnumber,createddate            ,lastpublisheddate      ,modifieddate           ,journeystatus                                                                                       
------------------------------------,------------------------------------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,-------------,-----------------------,-----------------------,-----------------------,----------------------------------------------------------------------------------------------------
14AFD57F-D3CF-48DD-A1A8-00B3FE88777B,14AFD57F-D3CF-48DD-A1A8-00B3FE88777B,promo_14AFD57F-D3CF-48DD-A1A8-00B3FE88777B                                                                                                                                                              ,            1,2023-01-31 19:51:00.000,2023-01-31 20:16:00.000,2023-01-31 20:16:00.000,Running                                                                                             
14AFD57F-D3CF-48DD-A1A8-00B3FE88777B,14AFD57F-D3CF-48DD-A1A8-00B3FE88777B,promo_14AFD57F-D3CF-48DD-A1A8-00B3FE88777B                                                                                                                                                              ,            1,2023-01-31 19:51:00.000,2023-01-31 20:16:00.000,2023-01-31 20:16:00.000,Running                                                                                             
B3C398C7-275E-4786-9F9D-0229002A0626,B3C398C7-275E-4786-9F9D-0229002A0626,promo_B3C398C7-275E-4786-9F9D-0229002A0626                                                                                                                                                              ,            1,2022-08-30 08:57:00.000,                   NULL,2022-08-30 09:03:00.000,Draft                                                                                               
2B0AD7CA-3F1B-40FD-A7DF-0254FD42C396,A1478066-A140-44ED-B350-6CDC219F2179,promo_A1478066-A140-44ED-B350-6CDC219F2179                                                                                                                                                              ,            2,2022-10-10 14:29:00.000,2022-10-10 14:30:00.000,2022-10-10 14:51:00.000,Deleted                                                                                             
4488B0F1-9D9C-46E9-973C-0318EE4034A6,4488B0F1-9D9C-46E9-973C-0318EE4034A6,promo_4488B0F1-9D9C-46E9-973C-0318EE4034A6                                                                                                                                                              ,            1,2022-12-22 15:27:00.000,2022-12-22 15:29:00.000,2022-12-22 15:29:00.000,Running                                                                                             
0D08866A-E9C3-40CD-A0CB-043DCAE1BBFF,0D08866A-E9C3-40CD-A0CB-043DCAE1BBFF,promo_0D08866A-E9C3-40CD-A0CB-043DCAE1BBFF                                                                                                                                                              ,            1,2022-12-06 11:08:00.000,2022-12-06 11:38:00.000,2022-12-06 11:38:00.000,Running                                                                                             
49AD1D57-F52F-466F-B2DB-04CAD9EC6EB8,49AD1D57-F52F-466F-B2DB-04CAD9EC6EB8,promo_49AD1D57-F52F-466F-B2DB-04CAD9EC6EB8                                                                                                                                                              ,            1,2023-01-19 16:06:00.000,2023-01-19 16:10:00.000,2023-01-19 16:10:00.000,Running                                                                                             
60546B1C-E670-4FFE-BC07-05344D7AE1E5,60546B1C-E670-4FFE-BC07-05344D7AE1E5,promo_60546B1C-E670-4FFE-BC07-05344D7AE1E5                                                                                                                                                              ,            1,2023-02-10 10:48:00.000,2023-02-10 11:17:00.000,2023-02-10 11:17:00.000,Running                                                                                             
B6F656ED-8F05-4FC5-8909-056B0D35A10A,B6F656ED-8F05-4FC5-8909-056B0D35A10A,promo_B6F656ED-8F05-4FC5-8909-056B0D35A10A                                                                                                                                                              ,            1,2022-12-16 16:05:00.000,2022-12-16 16:23:00.000,2022-12-16 16:23:00.000,Running                                                                                             
F6624C78-FE2D-47CD-9B7A-06474E9E6535,5326383D-0CBF-4517-BA0F-36B8F30F337B,promo_5326383D-0CBF-4517-BA0F-36B8F30F337B                                                                                                                                                              ,            2,2023-01-06 20:23:00.000,2023-01-06 20:26:00.000,2023-01-06 20:28:00.000,Finishing                                                                                           
17FEDFDC-95A3-435A-893C-066703FD732A,AB72816D-4902-49CF-A76A-63863212D016,promo_AB72816D-4902-49CF-A76A-63863212D016                                                                                                                                                              ,            6,2023-01-25 12:15:00.000,2023-01-25 12:19:00.000,2023-01-30 08:35:00.000,Deleted                                                                                             
