versionid                           ,activityid                          ,activityname                                                                                                                                                                                            ,activityexternalkey                                                                                                                                                                                     ,journeyactivityobjectid             ,activitytype                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------,------------------------------------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,------------------------------------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
14AFD57F-D3CF-48DD-A1A8-00B3FE88777B,E5C6ACF2-264A-463D-9BE7-13FBD98527A4,Einstein STO - 6 Hours                                                                                                                                                                                  ,STOWAIT-1                                                                                                                                                                                               ,00000000-0000-0000-0000-000000000000,STOWAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
14AFD57F-D3CF-48DD-A1A8-00B3FE88777B,E61CB017-076E-4EF0-996E-20CCC95A850B,PROMO_20230201_PROMO_BMSMLC_Newsubs_A                                                                                                                                                                   ,EMAILV2-2                                                                                                                                                                                               ,9D82E769-D6A1-ED11-B849-48DF37E41D3A,EMAILV2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
14AFD57F-D3CF-48DD-A1A8-00B3FE88777B,ABD24E80-45BD-47B8-BA18-36022FB5132B,1 day                                                                                                                                                                                                   ,WAITBYDURATION-1                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
14AFD57F-D3CF-48DD-A1A8-00B3FE88777B,ED33AEFC-4FB9-445C-9AEA-61AFF8C0A629,Stop                                                                                                                                                                                                    ,a307ee19-81e9-40fd-af9a-52131270a461                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
14AFD57F-D3CF-48DD-A1A8-00B3FE88777B,5D6F5501-2A41-4D25-9989-857D2F0D5B73,Start Activity                                                                                                                                                                                          ,99099eda-e7d1-40cc-8a2c-acf9328dc957                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,StartActivity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
14AFD57F-D3CF-48DD-A1A8-00B3FE88777B,F0A861D8-02E7-425A-B974-893413CFA314,TRIGGER                                                                                                                                                                                                 ,TRIGGER                                                                                                                                                                                                 ,00000000-0000-0000-0000-000000000000,EmailAudience                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
B3C398C7-275E-4786-9F9D-0229002A0626,776419A9-0203-4736-9785-02EB376E2F8D,1 minute                                                                                                                                                                                                ,WAITBYDURATION-1                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
B3C398C7-275E-4786-9F9D-0229002A0626,DDB51796-39E8-4DE2-957B-29C9317413A4,0 F21 Country US - IOS v8 All                                                                                                                                                                           ,TRIGGER                                                                                                                                                                                                 ,00000000-0000-0000-0000-000000000000,ContactAudience                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
B3C398C7-275E-4786-9F9D-0229002A0626,3E07E14C-62DD-4A3B-863A-81874F7F75D5,Force Update                                                                                                                                                                                            ,INAPPSYNCACTIVITY-1                                                                                                                                                                                     ,00000000-0000-0000-0000-000000000000,INAPPSYNCACTIVITY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
